code,description,symptoms,causes
P0278,Cylinder 6 Contribution/Balance Fault,"The check engine light will illuminate and code P0279 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number seven cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0279,Cylinder 7 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0280 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0280,Cylinder 7 Injector Circuit High,"Check engine light on and code P0281 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0281,Cylinder 7 Contribution/Balance Fault,"The check engine light will illuminate and code P0282 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number eight cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0282,Cylinder 8 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0283 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0283,Cylinder 8 Injector Circuit High,"Check engine light on and code P0284 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0284,Cylinder 8 Contribution/Balance Fault,"The check engine light will illuminate and code P0285 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number nine cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0285,Cylinder 9 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0286 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0286,Cylinder 9 Injector Circuit High,"Check engine light on and code P0287 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0287,Cylinder 9 Contribution/Balance Fault,"The check engine light will illuminate and code P0288 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number ten cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0288,Cylinder 10 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0289 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0289,Cylinder 10 Injector Circuit High,"Check engine light on and code P0290 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0290,Cylinder 10 Contribution/Balance Fault,"The check engine light will illuminate and code P0291 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number eleven cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0291,Cylinder 11 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0292 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0292,Cylinder 11 Injector Circuit High,"Check engine light on and code P0293 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0293,Cylinder 11 Contribution/Balance Fault,"The check engine light will illuminate and code P0294 will set, The engine will run rougher than normal, A lack of power, A big drop in fuel economy will result","Dirty fuel injector supplying the number twelve cylinder, Faulty fuel injector, Plugged fuel injector, Open or short in the fuel injector harness, Loose or corroded fuel injector connector"
P0294,Cylinder 12 Injector Circuit Low,"The malfunction indicator light will illuminate and code P0295 will set, The engine will run rough at idle, The fuel economy will suffer, There will be a lack of power indicated by poor acceleration","Faulty electrical harness from the PCM to the injector, Faulty electrical connector on the fuel injector, Internally shorted fuel injector causing a high-voltage draw, Plugged or dirty fuel injector"
P0295,Cylinder 12 Injector Circuit High,"Check engine light on and code P0296 set, Reduced power and acceleration, Rough idle, Drop in fuel economy","Possible defective electrical connector on the fuel injector due to corrosion of the terminals or pushed out pins, Dirty or clogged fuel injector, Fuel injector failure"
P0296,Cylinder 12 Contribution/Range Fault,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plugs or wires, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector(s), Burned exhaust valve, Faulty catalytic converter(s), Stuck/blocked/leaking EGR valve / passages, Faulty camshaft position sensor, Defective computer"
P0300,Random/Multiple Cylinder Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0301,Cylinder 1 Misfire Detected,"Diminished engine performance, Rough or unstable feeling from engine (at idle or under light acceleration), Odd odor from engine exhaust, Flashing or constant MIL (malfunction indicator lamp) illumination","Defective ignition coil(s), Bad spark plug(s), spark plug wires, or spark plug boots, Faulty fuel injector(s), Malfunctioning fuel delivery system (fuel pump, fuel pump relay, fuel injectors, or fuel filter), Major engine vacuum leak, EGR valve stuck in the wide open position, Clogged EGR ports"
P0302,Cylinder 2 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0303,Cylinder 3 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0304,Cylinder 4 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0305,Cylinder 5 Misfire Detected,"Diminished engine performance, Rough or unstable feeling from engine (at idle or under light acceleration), Odd odor from engine exhaust, Flashing or constant MIL (malfunction indicator lamp) illumination","Defective ignition coil(s), Bad spark plug(s), spark plug wires, or spark plug boots, Faulty fuel injector(s), Malfunctioning fuel delivery system (fuel pump, fuel pump relay, fuel injectors, or fuel filter), Major engine vacuum leak, EGR valve stuck in the wide open position, Clogged EGR ports"
P0306,Cylinder 6 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0307,Cylinder 7 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0308,Cylinder 8 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0309,Cylinder 9 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0310,Cylinder 10 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0311,Cylinder 11 Misfire Detected,"the engine may be harder to start, the engine may stumble / stumble, and/or hesitate, other symptoms may also be present","Faulty spark plug or wire, Faulty coil (pack), Faulty oxygen sensor(s), Faulty fuel injector, Burned exhaust valve, Faulty catalytic converter(s), Running out of fuel, Poor compression, Defective computer"
P0312,Cylinder 12 Misfire Detected,"Malfunction Indicator Light On, Engine cranks but will not start, Misfire, Hesitation, Stumble, Lack of Power","Open in the control circuit (ground circuit) between the ignition/distributor/engine speed sensor and the PCM, Open in the power supply circuit between the ignition/distributor/engine speed sensor and the PCM, Short to ground in the power supply circuit to the ignition/distributor/engine speed sensor, Ignition/distributor/engine speed sensor faulty, Possibly a PCM has failed (highly unlikely)"
P0320,Ignition/Distributor Engine Speed Input Circuit Malfunction,"Malfunction Indicator Light On, Engine cranks but will not start, Misfire, Hesitation, Stumble, Lack of Power","Open in the control circuit (ground circuit) between the ignition/distributor/engine speed sensor and the PCM, Open in the power supply circuit between the ignition/distributor/engine speed sensor and the PCM, Short to ground in the power supply circuit to the ignition/distributor/engine speed sensor, Ignition/distributor/engine speed sensor faulty, Possibly a PCM has failed (highly unlikely)"
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,"Malfunction Indicator Light On, Engine cranks but will not start, Misfire, Hesitation, Stumble, Lack of Power","Open in the control circuit (ground circuit) between the ignition/distributor/engine speed sensor and the PCM, Open in the power supply circuit between the ignition/distributor/engine speed sensor and the PCM, Short to ground in the power supply circuit to the ignition/distributor/engine speed sensor, Ignition/distributor/engine speed sensor faulty, Possibly a PCM has failed (highly unlikely)"
P0322,Ignition/Distributor Engine Speed Input Circuit No Signal,"Malfunction Indicator Light On, Engine cranks but will not start, Misfire, Hesitation, Stumble, Lack of Power","Open in the control circuit (ground circuit) between the ignition/distributor/engine speed sensor and the PCM, Open in the power supply circuit between the ignition/distributor/engine speed sensor and the PCM, Short to ground in the power supply circuit to the ignition/distributor/engine speed sensor, Ignition/distributor/engine speed sensor faulty, Possibly a PCM has failed (highly unlikely)"
P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent,"illuminated Check Engine Light (malfunction indicator lamp), lack of power, engine hesitation, engine detonation, an audible pinging noise from the engine, especially while accelerating or under load, decreased fuel efficiency (increased consumption)","The knock sensor is faulty and needs to
be replaced, There is a wiring short/fault in the knock
sensor circuit, The PCM powertrain control module is failed"
P0325,Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor),"MIL (Malfunction Indicator Lamp) illumination, Audible knocking from the engine compartment, Pinging from engine under acceleration","Knock sensor connector is damaged, Knock sensor circuit is open or shorted to ground, Knock sensor circuit is shorted to voltage, Knock sensor has failed, Moisture in knock sensor connectors, Incorrect fuel octane, PCM has failed"
P0326,Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor),"The knock sensor is faulty and needs to
be replaced, There is a wiring open/short/fault in the knock
sensor circuit, The PCM/ECM has failed","The knock sensor is faulty and needs to
be replaced, There is a wiring open/short/fault in the knock
sensor circuit, The PCM/ECM has failed"
P0327,Knock Sensor 1 Circuit Low Input (Bank 1 or Single Sensor),"MIL (Malfunction Indicator Lamp) illumination, Audible knocking from the engine compartment, Pinging from engine under acceleration, Loss of power, Irregular RPM","Knock sensor connector is damaged, Knock sensor circuit is open or shorted to ground, Knock sensor circuit is shorted to voltage, Knock sensor has failed, Loose knock sensor, Electrical interference in circuit, Low fuel pressure, Incorrect fuel octane, Mechanical engine problem, Failed/faulty PCM"
P0328,Knock Sensor 1 Circuit High Input (Bank 1 or Single Sensor),"Diminished engine performance, Hesitation upon acceleration, Loud noises from the engine area, Decreased fuel efficiency","Defective knock sensor/s, Internal engine malfunction, Ignition misfire/s, Contaminated or substandard fuel, Defective knock sensor control wiring and/or connectors, Bad PCM or a PCM programing error"
P0329,Knock Sensor 1 Circuit Intermittent (Bank 1 or Single Sensor),"The ""B"" knock sensor is faulty and needs to
be replaced, There is a wiring short/fault in the knock
sensor circuit","The ""B"" knock sensor is faulty and needs to
be replaced, There is a wiring short/fault in the knock
sensor circuit"
P0330,Knock Sensor 2 Circuit Malfunction (Bank 2),"MIL (Malfunction Indicator Lamp) illumination, Audible knocking from the engine compartment, Pinging from engine under acceleration","Knock sensor (KS) connector is damaged, Knock sensor circuit is open or shorted to ground, Knock sensor circuit is shorted to voltage, Knock sensor has failed, Moisture in knock sensor connectors, Incorrect fuel octane, PCM has failed"
P0331,Knock Sensor 2 Circuit Range/Performance (Bank 2),"The knock sensor is faulty and needs to
be replaced, There is a wiring open/short/fault in the knock
sensor circuit, The PCM/ECM has failed","The knock sensor is faulty and needs to
be replaced, There is a wiring open/short/fault in the knock
sensor circuit, The PCM/ECM has failed"
P0332,Knock Sensor 2 Circuit Low Input (Bank 2),"MIL (Malfunction Indicator Lamp) illumination, Audible knocking from the engine compartment, Pinging from engine under acceleration, Loss of power, Irregular RPM","Knock sensor connector is damaged, Knock sensor circuit is open or shorted to ground, Knock sensor circuit is shorted to voltage, Knock sensor has failed, Loose knock sensor, Electrical interference in circuit, Low fuel pressure, Incorrect fuel octane, Mechanical engine problem, Failed/faulty PCM"
P0333,Knock Sensor 2 Circuit High Input (Bank 2),"Diminished engine performance, Hesitation upon acceleration, Loud noises from the engine area, Decreased fuel efficiency","Defective knock sensor/s, Internal engine malfunction, Ignition misfire/s, Contaminated or substandard fuel, Defective knock sensor control wiring and/or connectors, Bad PCM or a PCM programing error"
P0334,Knock Sensor 2 Circuit Intermittent (Bank 2),"Vehicle may not start (see above), Vehicle may run rough or misfire, MIL illumination","Damaged CKP sensor connector, Damaged reluctor ring (missing teeth or not turning due to sheared-off keyway), Sensor output open, Sensor output shorted to ground, Sensor output shorted to voltage, Failed crank sensor, Broken timing belt, Failed PCM"
P0335,Crankshaft Position Sensor A Circuit Malfunction,"Intermittent stalling & no start, No start, MIL (Malfunction Indicator Lamp) illumination, Intermittent misfire","Bad crank sensor, Broken reluctor ring (missing teeth, debris lodged in ring), Reluctor ring dislodged/stripped from it's stationary location, Wiring harness chafing causing short, Wiring open in CKP circuit"
P0336,Crankshaft Position Sensor A Circuit Range/Performance,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error"
P0337,Crankshaft Position Sensor A Circuit Low Input,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error, Alternator overcharging and affecting PCM operation"
P0338,Crankshaft Position Sensor A Circuit High Input,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error"
P0339,Crankshaft Position Sensor A Circuit Intermittent,"Hard starting or no start, Rough running / misfiring, Loss of engine power","a wire or connector in the circuit could be grounded/shorted/broken, the camshaft position sensor may have failed, the PCM may have failed, there exists an open circuit, the crankshaft position sensor may have failed"
P0340,Camshaft Position Sensor Circuit Malfunction,"Poor fuel economy (if engine runs), Possible no start condition","Cam sensor wiring routed too close to spark plug wiring (causing interference), Poor wiring connection at cam sensor, Poor wiring connection at PCM, Bad cam sensor, Damaged reluctor wheel"
P0341,Camshaft Position Sensor Circuit Range/Performance,"Check engine light (malfunction indicator lamp) illumination and code P0342 set, Lack of power, Stalling, Hard starting","Faulty camshaft position sensor, Sensor harness is open or shorted, Poor electrical connections, Faulty starter, Poor wiring to the starter, Bad battery"
P0342,Camshaft Position Sensor Circuit Low Input,"Check Engine Light on, Bucking or Surging, Dies out, but may restart if the problem is inconsistent, May run fine, until it is restarted; then will not restart","Open in the ground circuit to the camshaft position sensor, Open in the signal circuit between the camshaft position sensor and the PCM, Short to 5 volts in the signal circuit to the camshaft position sensor, Occasionally-Camshaft Position Sensor faulty – internally shorted to voltage"
P0343,Camshaft Position Sensor Circuit High Input,"Check Engine Light on, Intermittent bucking or surging, Intermittently Dies out, but will immediately restart","Intermittent open in the power supply circuit to the camshaft position sensor, Intermittent short to ground in the power supply circuit to the camshaft position sensor, Intermittent open in the ground circuit to the camshaft position sensor, Intermittent open in the signal circuit to the camshaft position sensor, Intermittent short to 5 volts in the signal circuit to the camshaft position senso, Intermittent short to ground in the signal circuit to the camshaft position sensor, Camshaft Position Sensor tone ring damage, Occasionally-Crankshaft Position Sensor producing intermittent signals"
P0344,Camshaft Position Sensor Circuit Intermittent,"Drivability issues, including one or more ignition misfires, Poor engine performance, Diminished fuel efficiency, Cylinder misfire codes will likely accompany a code P0350 (e.g. P0301, P0302, P0303, P0304, etc.)","Open or shorted primary/secondary circuits, Defective ignition coils or coil pack/s, Bad ignition system relay, Blown fuses or fusible links, Faulty PCM or a PCM programming error"
P0350,Ignition Coil Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0351,Ignition Coil A Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0352,Ignition Coil B Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0353,Ignition Coil C Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0354,Ignition Coil D Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0355,Ignition Coil E Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0356,Ignition Coil F Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0357,Ignition Coil G Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0358,Ignition Coil H Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0359,Ignition Coil I Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0360,Ignition Coil J Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0361,Ignition Coil K Primary/Secondary Circuit Malfunction,"MIL (Malfunction indicator lamp) illumination, Engine misfire may be present or intermittent","Short to voltage or ground on COP driver circuit, Open on COP driver circuit, Loose connection at coil or broken connector locks, Bad Coil (COP), Faulty Powertrain Control Module"
P0362,Ignition Coil L Primary/Secondary Circuit Malfunction,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0370,Timing Reference High Resolution Signal A Malfunction,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0371,Timing Reference High Resolution Signal A Too Many Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0372,Timing Reference High Resolution Signal A Too Few Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0373,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0374,Timing Reference High Resolution Signal A No Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0375,Timing Reference High Resolution Signal B Malfunction,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0376,Timing Reference High Resolution Signal B Too Many Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0377,Timing Reference High Resolution Signal B Too Few Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0378,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses,"Illuminate check engine light, Hard starting/no starting, Poor engine performance","Faulty sensor, Wiring problems, Reluctor wheel damage, Contaminated oil, Faulty PCM"
P0379,Timing Reference High Resolution Signal B No Pulses,"Malfunction Indicator Lamp (MIL) illumination, Glow plug / Wait To Start indicator stays illuminated longer than normal (may be on solid), Hard to start condition especially in colder weather","Fault in glow plug wiring (open, short to ground, etc.), Glow plug faulty, Open fuse, Faulty glow plug relay, Faulty glow plug module"
P0380,"Glow Plug/Heater Circuit ""A"" Malfunction","Delayed engine start up, especially during periods of extremely cold weather, Excessive smoke from the exhaust, No glow plug indicator illumination, Constant glow plug indicator illumination","Defective glow plug indicator lamp bulb, Faulty glow plug/heater relay, Glow plug/heater controller malfunction, Open or shorted glow plug/heater indicator circuit, Bad instrument panel circuit board"
P0381,Glow Plug/Heater Indicator Circuit Malfunction,"Malfunction Indicator Lamp (MIL) illumination, Glow plug / Wait To Start indicator stays illuminated longer than normal (may be on solid), Hard to start condition especially in colder weather","Fault in glow plug wiring (open, short to ground, etc.), Glow plug faulty, Open fuse, Faulty glow plug relay, Faulty glow plug module"
P0382,Exhaust Gas Recirculation Flow Malfunction,"Vehicle may not start (see above), Vehicle may run rough or misfire, MIL illumination","Damaged CKP sensor connector, Damaged reluctor ring (missing teeth or not turning due to sheared-off keyway), Sensor output open, Sensor output shorted to ground, Sensor output shorted to voltage, Failed crank sensor, Failed PCM"
P0385,Crankshaft Position Sensor B Circuit Malfunction,"Intermittent stalling & no start, No start, MIL (Malfunction Indicator Lamp) illumination, Intermittent misfire","Bad crank sensor, Broken reluctor ring (missing teeth, debris lodged in ring), Reluctor ring dislodged/stripped from it's stationary location, Wiring harness chafing causing short, Wiring open in CKP circuit"
P0386,Crankshaft Position Sensor B Circuit Range/Performance,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error"
P0387,Crankshaft Position Sensor B Circuit Low Input,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error, Alternator overcharging and affecting PCM operation"
P0388,Crankshaft Position Sensor B Circuit High Input,"The engine will not start, The tachometer (if equipped) does not register RPM when the engine is cranked, Hesitation upon acceleration, Poor engine performance, Diminished fuel efficiency","Defective CKP sensor, Open or shorted wiring to the CKP sensor, Corroded or fluid soaked connector at the CKP sensor, Faulty PCM or PCM programming error"
P0389,Crankshaft Position Sensor B Circuit Intermittent,"Plugged EGR passage which restricts the flow of exhaust gasses, Faulty EGR solenoid, Faulty EGR solenoid wiring/harness, Vacuum lines damaged/disconnected to the EGR valve solenoid or to the EGR
valve, Faulty EGR valve","Plugged EGR passage which restricts the flow of exhaust gasses, Faulty EGR solenoid, Faulty EGR solenoid wiring/harness, Vacuum lines damaged/disconnected to the EGR valve solenoid or to the EGR
valve, Faulty EGR valve"
P0400,Exhaust Gas Recirculation Flow Malfunction,"The DPFE (differential pressure feedback EGR) sensor is faulty and needs
to be replaced, There is a blockage in the EGR (tube), most likely carbon buildup, The EGR valve is faulty, The EGR valve may not be opening due to a lack of vaccuum","The DPFE (differential pressure feedback EGR) sensor is faulty and needs
to be replaced, There is a blockage in the EGR (tube), most likely carbon buildup, The EGR valve is faulty, The EGR valve may not be opening due to a lack of vaccuum"
P0401,Exhaust Gas Recirculation Flow Insufficient Detected,"The DPFE (differential pressure) sensor is faulty and needs to be replaced, There is a blockage in the EGR (most likely carbon buildup), The EGR valve is faulty, The EGR valve may not be opening due to a lack of vaccuum","The DPFE (differential pressure) sensor is faulty and needs to be replaced, There is a blockage in the EGR (most likely carbon buildup), The EGR valve is faulty, The EGR valve may not be opening due to a lack of vaccuum"
